customer_id,city,repeat_customer,avg_rating
C00001,Warangal,Yes,2
C00002,Hyderabad,Yes,3
C00003,Warangal,Yes,3
C00004,Bangalore,Yes,4
C00005,Vizag,No,3
C00006,Bangalore,No,2
C00007,Guntur,Yes,3
C00008,Pune,Yes,3
C00009,Vijayawada,Yes,4
C00010,Warangal,Yes,5
C00011,Vijayawada,Yes,1
C00012,Warangal,Yes,4
C00013,Chennai,Yes,3
C00014,Hyderabad,Yes,2
C00015,Guntur,No,1
C00016,Vizag,Yes,5
C00017,Warangal,Yes,3
C00018,Vijayawada,Yes,5
C00019,Guntur,Yes,4
C00020,Mumbai,Yes,3
C00021,Mumbai,No,4
C00022,Bangalore,Yes,5
C00023,Vizag,Yes,5
C00024,Chennai,Yes,4
C00025,Vijayawada,Yes,3
C00026,Hyderabad,Yes,2
C00027,Hyderabad,Yes,3
C00028,Vijayawada,No,4
C00029,Pune,No,5
C00030,Chennai,No,4
C00031,Guntur,Yes,5
C00032,Warangal,Yes,3
C00033,Pune,No,4
C00034,Warangal,Yes,5
C00035,Warangal,Yes,4
C00036,Pune,Yes,4
C00037,Bangalore,Yes,4
C00038,Mumbai,Yes,4
C00039,Warangal,Yes,5
C00040,Pune,Yes,4
C00041,Pune,No,3
C00042,Delhi,Yes,4
C00043,Bangalore,Yes,3
C00044,Vizag,Yes,4
C00045,Delhi,Yes,2
C00046,Delhi,Yes,5
C00047,Vijayawada,No,5
C00048,Mumbai,Yes,3
C00049,Pune,No,3
C00050,Mumbai,Yes,4
C00051,Chennai,Yes,4
C00052,Vijayawada,No,3
C00053,Vizag,Yes,2
C00054,Mumbai,Yes,4
C00055,Hyderabad,Yes,4
C00056,Warangal,Yes,3
C00057,Chennai,Yes,4
C00058,Bangalore,Yes,5
C00059,Vizag,Yes,2
C00060,Chennai,Yes,4
C00061,Warangal,No,2
C00062,Vijayawada,No,3
C00063,Warangal,No,2
C00064,Delhi,Yes,4
C00065,Warangal,No,5
C00066,Delhi,Yes,4
C00067,Vijayawada,No,3
C00068,Guntur,Yes,1
C00069,Delhi,Yes,4
C00070,Bangalore,No,2
C00071,Warangal,Yes,3
C00072,Warangal,Yes,4
C00073,Bangalore,No,5
C00074,Hyderabad,No,2
C00075,Pune,No,4
C00076,Guntur,Yes,1
C00077,Vizag,Yes,4
C00078,Delhi,Yes,4
C00079,Bangalore,Yes,5
C00080,Vijayawada,Yes,4
C00081,Delhi,Yes,3
C00082,Pune,Yes,3
C00083,Vijayawada,Yes,2
C00084,Chennai,No,4
C00085,Warangal,No,5
C00086,Chennai,No,4
C00087,Delhi,No,4
C00088,Pune,Yes,3
C00089,Guntur,No,4
C00090,Delhi,Yes,3
C00091,Bangalore,No,2
C00092,Mumbai,No,4
C00093,Delhi,No,4
C00094,Warangal,Yes,3
C00095,Warangal,Yes,4
C00096,Delhi,Yes,4
C00097,Vijayawada,Yes,3
C00098,Mumbai,Yes,4
C00099,Bangalore,Yes,3
C00100,Delhi,Yes,3
C00101,Vijayawada,Yes,3
C00102,Warangal,No,3
C00103,Warangal,Yes,4
C00104,Pune,Yes,5
C00105,Delhi,No,3
C00106,Mumbai,Yes,2
C00107,Hyderabad,No,3
C00108,Mumbai,Yes,4
C00109,Warangal,Yes,3
C00110,Warangal,Yes,4
C00111,Chennai,Yes,4
C00112,Warangal,Yes,4
C00113,Bangalore,Yes,5
C00114,Vizag,Yes,3
C00115,Delhi,Yes,5
C00116,Mumbai,Yes,3
C00117,Vizag,Yes,2
C00118,Vijayawada,Yes,4
C00119,Hyderabad,Yes,4
C00120,Bangalore,Yes,5
C00121,Mumbai,Yes,3
C00122,Vizag,Yes,5
C00123,Hyderabad,No,2
C00124,Chennai,Yes,1
C00125,Bangalore,No,3
C00126,Bangalore,No,4
C00127,Chennai,Yes,4
C00128,Delhi,Yes,4
C00129,Chennai,No,3
C00130,Bangalore,No,2
C00131,Bangalore,Yes,3
C00132,Vizag,No,4
C00133,Warangal,No,4
C00134,Hyderabad,Yes,4
