order_id,order_date,customer_id,product_id,store_id,discount,quantity,sales_amount
O000001,2024-07-25,C06223,P062,S041,10,3,25552
O000002,2025-11-19,C07809,P071,S041,5,7,79534
O000003,2024-03-14,C02062,P014,S006,5,5,35948
O000004,2024-04-14,C02564,P014,S041,0,1,7568
O000005,2025-09-22,C02804,P010,S046,15,12,92116
O000006,2026-01-10,C06210,P059,S037,25,3,32665
O000007,2024-07-24,C02294,P039,S002,25,1,2297
O000008,2024-09-25,C01626,P046,S006,5,4,69996
O000009,2026-01-06,C05810,P018,S031,0,3,69411
O000010,2025-01-07,C00572,P019,S012,0,3,58710
O000011,2024-03-03,C07400,P037,S001,15,5,84609
O000012,2025-12-19,C02401,P003,S035,5,1,7198
O000013,2026-02-08,C09904,P055,S023,0,5,99005
O000014,2025-06-09,C08575,P007,S019,5,2,28840
O000015,2026-01-05,C05830,P071,S006,10,3,32292
O000016,2025-10-27,C01084,P052,S002,15,3,35026
O000017,2025-09-24,C01950,P054,S023,10,1,20364
O000018,2025-01-19,C05531,P038,S045,5,1,22559
O000019,2025-09-28,C05203,P063,S050,10,1,7279
O000020,2025-08-22,C05431,P064,S028,0,1,2120
O000021,2025-03-09,C03498,P006,S022,0,2,2540
O000022,2025-10-21,C05497,P074,S036,5,4,45467
O000023,2025-05-27,C04931,P052,S002,0,4,54944
O000024,2024-10-17,C03395,P044,S017,25,5,43965
O000025,2024-02-20,C09396,P036,S035,5,1,15521
O000026,2025-04-20,C00774,P037,S047,0,5,99540
O000027,2025-04-04,C07794,P064,S011,20,2,3392
O000028,2024-10-15,C02598,P048,S022,10,4,59720
O000029,2024-06-04,C09596,P027,S009,0,4,29652
O000030,2024-12-29,C07982,P065,S002,5,2,43570
O000031,2025-05-10,C03062,P001,S006,5,3,44026
O000032,2024-07-12,C03326,P048,S037,5,3,47278
O000033,2025-10-11,C01404,P085,S044,0,3,23739
O000034,2024-02-23,C03321,P037,S045,10,1,17917
O000035,2024-06-09,C07240,P092,S011,5,1,2303
O000036,2025-06-26,C06650,P049,S011,0,11,205689
O000037,2025-03-06,C07421,P055,S042,0,5,99005
O000038,2024-02-21,C07140,P039,S022,0,1,3063
O000039,2024-05-14,C00870,P036,S037,10,2,29408
O000040,2026-01-06,C06443,P066,S005,10,9,9541
O000041,2025-11-08,C09276,P066,S025,0,5,5890
O000042,2024-04-07,C00974,P068,S006,15,1,10298
O000043,2024-04-18,C09418,P002,S009,5,5,39914
O000044,2025-02-20,C09995,P065,S044,5,1,21785
O000045,2025-07-25,C01189,P018,S003,10,4,83293
O000046,2024-03-01,C05148,P041,S026,0,3,52377
O000047,2025-12-29,C03444,P098,S017,5,5,39334
O000048,2024-06-11,C05685,P091,S015,10,5,3825
O000049,2025-09-06,C01322,P100,S003,0,2,28796
O000050,2024-03-26,C02024,P039,S029,0,2,6126
O000051,2024-09-23,C06741,P026,S029,20,11,51339
O000052,2025-01-12,C05469,P075,S031,10,2,5985
O000053,2025-01-21,C00439,P003,S019,0,1,7577
O000054,2025-12-29,C00165,P049,S040,5,7,124348
O000055,2024-08-31,C05679,P028,S037,0,4,1912
O000056,2024-11-23,C07836,P100,S006,0,2,28796
O000057,2025-02-21,C03338,P016,S001,0,1,9198
O000058,2024-10-02,C03351,P099,S010,30,5,67357
O000059,2024-06-16,C00988,P022,S009,25,1,2484
O000060,2024-09-28,C02530,P080,S045,0,4,90904
O000061,2025-04-30,C04613,P097,S042,0,4,59320
O000062,2024-05-30,C03846,P077,S039,10,4,17182
O000063,2025-04-15,C05757,P049,S015,10,8,134632
O000064,2025-04-17,C08106,P028,S021,0,8,3824
O000065,2024-09-24,C01327,P016,S042,0,2,18396
O000066,2024-12-02,C08220,P064,S028,0,1,2120
O000067,2025-03-18,C06925,P060,S020,5,1,23295
O000068,2024-10-01,C04594,P066,S049,15,9,9011
O000069,2025-08-18,C06663,P026,S033,5,7,38796
O000070,2024-06-05,C00194,P042,S048,0,5,118695
O000071,2025-09-10,C08784,P092,S033,0,3,7275
O000072,2025-07-27,C02490,P003,S045,10,2,13638
O000073,2026-01-11,C06402,P021,S035,5,9,75368
O000074,2025-04-03,C08305,P032,S004,5,1,4366
O000075,2026-01-04,C09510,P070,S028,5,8,89794
O000076,2025-04-12,C01738,P069,S046,5,1,23167
O000077,2024-06-26,C02062,P024,S044,0,5,16760
O000078,2025-10-21,C09883,P065,S036,20,3,55036
O000079,2025-03-18,C06284,P023,S021,0,8,17888
O000080,2024-09-30,C09587,P080,S005,5,2,43179
O000081,2024-03-15,C06841,P008,S014,0,1,10157
O000082,2025-07-28,C03560,P045,S012,0,1,6128
O000083,2025-08-16,C05462,P089,S006,0,5,23460
O000084,2025-09-16,C07600,P011,S027,0,3,63744
O000085,2025-05-07,C03884,P057,S036,5,5,113078
O000086,2024-11-15,C03252,P012,S012,10,5,49540
O000087,2025-12-07,C05054,P072,S001,10,4,38761
O000088,2025-04-07,C03015,P010,S006,5,3,25738
O000089,2025-01-21,C01129,P063,S024,0,1,8088
O000090,2025-02-08,C06866,P035,S017,15,11,82897
O000091,2025-08-20,C06473,P038,S035,15,2,40369
O000092,2024-08-19,C07417,P021,S005,0,8,70520
O000093,2025-07-09,C01697,P051,S039,25,4,24120
O000094,2024-04-17,C08325,P018,S009,0,5,115685
O000095,2026-02-05,C07408,P018,S042,0,1,23137
O000096,2024-11-15,C07246,P026,S016,10,9,47255
O000097,2024-02-18,C04666,P020,S008,10,3,53919
O000098,2025-05-31,C04221,P025,S018,0,3,59718
O000099,2025-08-12,C07575,P095,S031,5,9,31241
O000100,2024-09-12,C06171,P082,S018,0,3,61287
O000101,2025-03-22,C00312,P080,S046,5,5,107948
O000102,2025-09-06,C09978,P045,S047,20,3,14707
O000103,2024-07-30,C05435,P058,S042,0,2,21194
O000104,2024-08-13,C00402,P018,S022,0,1,23137
O000105,2025-07-15,C05555,P048,S024,10,1,14930
O000106,2025-12-01,C01597,P014,S020,20,3,18163
O000107,2025-05-21,C00122,P007,S050,0,2,30358
O000108,2024-06-24,C00751,P038,S020,15,2,40369
O000109,2024-08-18,C00106,P064,S050,5,2,4028
O000110,2025-03-25,C06935,P029,S017,10,2,30697
O000111,2024-05-21,C09252,P087,S002,0,7,55860
O000112,2025-05-07,C03239,P098,S046,20,3,19874
O000113,2026-01-29,C01245,P055,S034,0,3,59403
O000114,2026-01-06,C08268,P081,S038,15,4,42911
O000115,2024-11-29,C06866,P045,S016,0,2,12256
O000116,2025-04-22,C09202,P082,S039,0,2,40858
O000117,2025-04-28,C03283,P019,S027,0,4,78280
O000118,2024-06-16,C02276,P002,S004,15,1,7142
O000119,2024-02-13,C03809,P093,S018,0,6,51840
O000120,2025-11-29,C08645,P066,S010,10,3,3180
O000121,2025-11-04,C00766,P082,S002,15,5,86823
O000122,2026-01-10,C04583,P100,S018,0,2,28796
O000123,2025-06-13,C02716,P036,S031,5,1,15521
O000124,2025-11-03,C01498,P056,S036,0,3,62262
O000125,2025-09-28,C02839,P021,S040,0,8,70520
O000126,2025-06-30,C06037,P097,S026,0,12,177960
O000127,2024-08-17,C05067,P063,S043,15,1,6874
O000128,2024-07-14,C00490,P002,S012,15,1,7142
O000129,2024-09-03,C06375,P074,S003,5,6,68200
O000130,2024-10-18,C01936,P015,S038,5,5,52520
O000131,2025-03-29,C02750,P062,S030,0,4,37856
O000132,2024-08-07,C09296,P012,S036,5,2,20917
O000133,2024-05-23,C07813,P003,S018,0,2,15154
O000134,2024-07-19,C09792,P004,S013,5,5,1230
O000135,2024-04-21,C07465,P009,S003,5,4,4890
O000136,2024-10-03,C07778,P046,S004,5,4,69996
O000137,2024-06-06,C08418,P042,S012,5,4,90208
O000138,2024-06-06,C06287,P074,S047,0,12,143580
O000139,2024-04-09,C09907,P031,S011,5,2,13756
O000140,2024-07-30,C04150,P037,S011,0,3,59724
O000141,2025-09-07,C05849,P011,S043,15,5,90304
O000142,2025-01-08,C07657,P061,S045,0,5,90540
O000143,2025-01-21,C02346,P027,S047,10,7,46701
O000144,2025-03-04,C05550,P046,S021,15,4,62628
O000145,2024-11-25,C06681,P070,S023,0,3,35445
O000146,2024-09-15,C08771,P094,S047,5,10,187074
O000147,2025-09-06,C01699,P043,S017,0,3,36168
O000148,2024-11-28,C06985,P099,S001,0,5,96225
O000149,2024-09-15,C06038,P045,S038,0,4,24512
O000150,2025-08-02,C05257,P018,S032,0,2,46274
O000151,2024-05-03,C06552,P050,S007,15,12,6109
O000152,2025-12-18,C00279,P006,S014,0,1,1270
O000153,2025-05-23,C01469,P013,S001,25,5,57060
O000154,2025-10-08,C09133,P012,S038,0,2,22018
O000155,2024-04-15,C02319,P007,S050,15,2,25804
O000156,2024-04-17,C04537,P014,S009,0,2,15136
O000157,2025-04-08,C05348,P073,S030,10,1,19839
O000158,2025-03-23,C05940,P099,S034,10,4,69282
O000159,2025-06-19,C01784,P047,S026,5,4,39292
O000160,2024-04-30,C06631,P007,S017,0,1,15179
O000161,2024-07-15,C03227,P039,S022,10,2,5513
O000162,2024-06-08,C09178,P056,S043,5,4,78865
O000163,2025-03-09,C02820,P085,S019,20,1,6330
O000164,2025-11-25,C03971,P019,S013,0,2,39140
O000165,2024-06-01,C00425,P027,S016,15,4,25204
O000166,2024-11-23,C02106,P061,S044,10,3,48891
O000167,2025-03-20,C02471,P066,S028,0,10,11780
O000168,2025-11-04,C05895,P052,S041,5,9,117442
O000169,2025-07-15,C03795,P056,S040,10,3,56035
O000170,2025-09-09,C02892,P014,S046,0,1,7568
O000171,2025-02-22,C09876,P033,S018,5,3,22962
O000172,2024-03-22,C03148,P012,S041,10,5,49540
O000173,2024-05-29,C04052,P085,S012,5,2,15034
O000174,2025-02-26,C03652,P094,S017,0,12,236304
O000175,2026-01-12,C07902,P086,S047,0,2,23204
O000176,2024-05-17,C01175,P066,S019,15,10,10013
O000177,2024-04-11,C02950,P093,S042,0,3,25920
O000178,2024-10-22,C08629,P024,S036,0,3,10056
O000179,2024-05-24,C06117,P096,S037,15,7,114359
O000180,2024-04-18,C00235,P045,S039,10,4,22060
O000181,2025-08-25,C07913,P076,S019,0,9,132930
O000182,2025-11-25,C04771,P055,S044,0,1,19801
O000183,2025-03-04,C05129,P071,S024,0,5,59800
O000184,2025-01-20,C04857,P053,S027,0,5,1490
O000185,2024-07-17,C08160,P066,S037,0,9,10602
O000186,2025-03-12,C02475,P019,S001,10,1,17613
O000187,2024-12-14,C00227,P051,S037,10,1,7236
O000188,2024-11-22,C06161,P082,S048,10,5,91930
O000189,2024-05-27,C04802,P098,S020,25,2,12421
O000190,2025-01-05,C05358,P066,S045,5,9,10071
O000191,2024-10-13,C07549,P045,S026,20,5,24512
O000192,2024-05-19,C03996,P040,S039,0,1,13852
O000193,2025-07-03,C01411,P083,S003,10,1,12890
O000194,2024-12-06,C04765,P006,S012,10,5,5715
O000195,2025-01-23,C01338,P051,S033,10,4,28944
O000196,2025-04-23,C05421,P041,S024,0,3,52377
O000197,2024-05-08,C00118,P047,S020,0,4,41360
